date,city,state,killed,injured,type,description,source_link,notes
2015-07-19,Aurora,Illinois,,,ARSON,A fire was set outside the front door of Planned Parenthood.,http://www.chicagotribune.com/suburbs/aurora-beacon-news/news/ct-abn-planned-parenthood-fire-st-0730-20150729-story.html,
2015-08-01,New Orleans,Louisiana,,,ARSON,The New Orleans Fire Department investigated a morning car fire at the construction site for a new Planned Parenthood clinic in New Orleans.,http://talkingpointsmemo.com/livewire/fire-planned-parenthood-louisiana,
2015-09-28,Pullman,Washington,,,ARSON,"The Planned Parenthood health center in Pullman, Washington, was set on fire and burned for several hours, causing extreme damage.",http://www.thedailybeast.com/articles/2015/09/05/planned-parenthood-fire-is-tragically-business-as-usual.html,
2015-09-30,Thousand Oaks,California,,,ARSON,Arsonist or arsonists broke a window and splashed gasoline inside the Planned Parenthood clinic before igniting it.,http://www.latimes.com/local/lanow/la-me-ln-suspicious-fire-planned-parenthood-20151001-story.html,
1996-07,Spokane,Washington,,,BOMB,Four people were convicted of conspiring in the bombing of the clinic and a bank robbery.,http://www.spokesman.com/stories/2015/sep/04/police-investigation-suspicious-fire-planned-paren/,
1996-07-12,Spokane,Washington,,,BOMB,"Three white separatists were convicted for multiple bombings and bank robberies in the Spokane area, including a Planned Parenthood.",http://www.nytimes.com/1997/04/03/us/3-separatists-are-convicted-of-conspiracy.html,
1997-01,Tulsa,Oklahoma,,,BOMB,Two separate bomb incidents at the Reproductive Services and Adoption Affiliates clinic. A teenager was convicted in the bombing and his parents were charged.,http://www.feminist.org/rrights/pdf/aw0400.pdf,
1997-01,Atlanta,Georgia,,7,BOMB,"A bomb destroyed most of the clinic. The second bomb was designed to kill rescue, law enforcement, and clinic staff. 7 injured.",http://www.feminist.org/rrights/pdf/aw0400.pdf,
1997-03,North Hollywood,California,,,BOMB,"A “Molotov Cocktail” was thrown through a window at the Family Planning Assoc. Medical Group causing $1,000 in damage.",http://www.feminist.org/rrights/pdf/aw0400.pdf,
1997-03,Bozeman,Montana,,,BOMB,An anti-abortion activist was arrested for setting fire to the building housing the office of Dr. Susan Wicklund.,http://www.feminist.org/rrights/pdf/aavw8.pdf,
